Feature ID	Taxon	Confidence
003f0ca2ab9f7d95543523ac4a259cda	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter	0.8735557072948524
003fe01f301f1a86313da0aa700f4f63	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus_callidus	0.893447678700926
00795553e2b368ec8ec1c9a84d15f893	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_fragilis	0.9150572132887846
00a1d5a83133601ea8dbf5a943b3c54f	d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus	0.9995646927249383
00a3345e564294224aa572a603b856a3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8705465961942133
00d8ae3834d0a0f94e027f017d8deac2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999995381560805
0138ed24c912cf93c0182ada95e3ba9a	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium	0.9867729497930332
0141c038ab2df9821f2086373c31aeca	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_massiliensis	0.8949449220145415
01538f235de2eddd948a8863eaa88301	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__uncultured; s__uncultured_bacterium	0.8145294390568057
0159d2d9c08114dec4e2c2351584fcf6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter	0.9998904175577461
015cdc6160b0d26b471e642eccf9d805	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_faecis	0.702679497253667
015fcbdc3eeada7973ad5261f9b9817a	Unassigned	0.8831799362846602
018a6b26c4296fd2289345fd8f647b37	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9997600918759183
018c93bae3b2dcc2ed73dc2a0f3b15c5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_johnsonii	0.8870557592207278
01990498347bc1ba01f8df18efd161cf	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Anaerotruncus; s__uncultured_bacterium	0.9359357059310954
019bd4e4feb2d4f79f0246e3fc5bb263	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter	0.8831993163826706
01b9ace43d3b23a944dbbdd31073f444	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter	0.9523840885324706
